samples,subject,channels,n_sessions,dataset,pipeline,score,time
45.0,35,64,1,PhysionetMotorImagery,LogVariance+LDA,0.52666664,0.08575562
45.0,35,64,1,PhysionetMotorImagery,LogVariance+SVM,0.74,0.0837081
45.0,35,64,1,PhysionetMotorImagery,MDM,0.67,0.3419887
45.0,35,64,1,PhysionetMotorImagery,TRCSP+LDA,0.74,0.3552343
45.0,35,64,1,PhysionetMotorImagery,TS+LR,0.84,0.350489
45.0,35,64,1,PhysionetMotorImagery,TS+SVM,0.6766667,0.3505284
45.0,36,64,1,PhysionetMotorImagery,CSP+SVM,0.52,0.32658663
45.0,36,64,1,PhysionetMotorImagery,LogVariance+LDA,0.49333334,0.08428817
45.0,36,64,1,PhysionetMotorImagery,LogVariance+SVM,0.52000004,0.08386014
45.0,36,64,1,PhysionetMotorImagery,MDM,0.32666668,0.3278931
45.0,36,64,1,PhysionetMotorImagery,TRCSP+LDA,0.47,0.3321368
45.0,36,64,1,PhysionetMotorImagery,TS+LR,0.46333334,0.3260741
45.0,36,64,1,PhysionetMotorImagery,TS+SVM,0.4,0.3250253
45.0,37,64,1,PhysionetMotorImagery,CSP+SVM,0.41,0.35581353
45.0,37,64,1,PhysionetMotorImagery,LogVariance+LDA,0.42333332,0.08539591
45.0,37,64,1,PhysionetMotorImagery,LogVariance+SVM,0.4433333,0.08312788
45.0,37,64,1,PhysionetMotorImagery,MDM,0.29,0.3506607
45.0,37,64,1,PhysionetMotorImagery,TRCSP+LDA,0.37333333,0.35931623
45.0,37,64,1,PhysionetMotorImagery,TS+LR,0.38333333,0.3573929
45.0,37,64,1,PhysionetMotorImagery,TS+SVM,0.23666668,0.35554138
45.0,38,64,1,PhysionetMotorImagery,CSP+SVM,0.5233333,0.3487551
45.0,38,64,1,PhysionetMotorImagery,LogVariance+LDA,0.58,0.08572904
45.0,38,64,1,PhysionetMotorImagery,LogVariance+SVM,0.66333336,0.08618786
45.0,38,64,1,PhysionetMotorImagery,MDM,0.33333334,0.34462476
45.0,38,64,1,PhysionetMotorImagery,TRCSP+LDA,0.47,0.3556198
45.0,38,64,1,PhysionetMotorImagery,TS+LR,0.48,0.35363516
45.0,38,64,1,PhysionetMotorImagery,TS+SVM,0.27,0.35010752
45.0,39,64,1,PhysionetMotorImagery,CSP+SVM,0.65333337,0.32894894
45.0,39,64,1,PhysionetMotorImagery,LogVariance+LDA,0.36333334,0.08752499
45.0,39,64,1,PhysionetMotorImagery,LogVariance+SVM,0.5,0.086659335
45.0,39,64,1,PhysionetMotorImagery,MDM,0.4466667,0.32843137
45.0,39,64,1,PhysionetMotorImagery,TRCSP+LDA,0.43666664,0.33973348
45.0,39,64,1,PhysionetMotorImagery,TS+LR,0.6166667,0.33639702
45.0,39,64,1,PhysionetMotorImagery,TS+SVM,0.45666668,0.33648166
